data,horario,id,cpf
03-01-2025,09:00,1001,123.456.789-01
04-02-2025,09:15,1002,234.567.890-12
05-03-2025,09:30,1003,345.678.901-23
06-04-2025,09:45,1004,456.789.012-34
07-05-2025,10:00,1005,567.890.123-45
08-06-2025,10:15,1006,678.901.234-56
09-07-2025,10:30,1007,789.012.345-67
10-08-2025,10:45,1008,890.123.456-78
11-09-2025,11:00,1009,901.234.567-89
12-10-2025,11:15,1010,012.345.678-90
13-11-2025,11:30,1011,135.792.468-01
14-12-2025,11:45,1012,246.813.579-12
15-01-2025,12:00,1013,357.924.680-23
16-02-2025,12:15,1014,468.135.791-34
17-03-2025,12:30,1015,579.246.802-45
18-04-2025,12:45,1016,680.357.913-56
19-05-2025,13:00,1017,791.468.024-67
20-06-2025,13:15,1018,802.579.135-78
21-07-2025,13:30,1019,913.680.246-89
22-08-2025,13:45,1020,024.791.357-90
23-09-2025,14:00,1021,111.222.333-44
24-10-2025,14:15,1022,222.333.444-55
25-11-2025,14:30,1023,333.444.555-66
26-12-2025,14:45,1024,444.555.666-77
27-01-2025,15:00,1025,555.666.777-88
28-02-2025,15:15,1026,666.777.888-99
29-03-2025,15:30,1027,777.888.999-00
30-04-2025,15:45,1028,888.999.000-11
31-05-2025,16:00,1029,999.000.111-22
01-06-2025,16:15,1030,000.111.222-33
02-07-2025,16:30,1031,123.456.789-01
03-08-2025,16:45,1032,234.567.890-12
04-09-2025,17:00,1033,345.678.901-23
05-10-2025,17:15,1034,456.789.012-34
06-11-2025,17:30,1035,567.890.123-45
07-12-2025,17:45,1036,678.901.234-56
08-01-2025,18:00,1037,789.012.345-67
09-02-2025,08:00,1038,890.123.456-78
10-03-2025,08:15,1039,901.234.567-89
11-04-2025,08:30,1040,012.345.678-90
12-05-2025,08:45,1041,135.792.468-01
13-06-2025,09:00,1042,246.813.579-12
14-07-2025,09:15,1043,357.924.680-23
15-08-2025,09:30,1044,468.135.791-34
16-09-2025,09:45,1045,579.246.802-45
17-10-2025,10:00,1046,680.357.913-56
18-11-2025,10:15,1047,791.468.024-67
19-12-2025,10:30,1048,802.579.135-78
20-01-2025,10:45,1049,913.680.246-89
21-02-2025,11:00,1050,024.791.357-90
22-03-2025,13:45,1020,024.791.357-90
23-04-2025,14:00,1021,111.222.333-44
24-05-2025,14:15,1022,222.333.444-55
25-06-2025,14:30,1023,333.444.555-66
26-07-2025,14:45,1024,444.555.666-77
27-08-2025,15:00,1025,555.666.777-88
28-09-2025,15:15,1026,666.777.888-99
29-10-2025,15:30,1027,777.888.999-00
30-11-2025,15:45,1028,888.999.000-11
31-12-2025,16:00,1029,999.000.111-22
01-01-2025,16:15,1030,000.111.222-33
02-02-2025,16:30,1031,123.456.789-01
03-03-2025,16:45,1032,234.567.890-12
04-04-2025,17:00,1033,345.678.901-23
05-05-2025,17:15,1034,456.789.012-34
06-06-2025,17:30,1035,567.890.123-45
07-07-2025,17:45,1036,678.901.234-56
08-08-2025,18:00,1037,789.012.345-67
09-09-2025,08:00,1038,890.123.456-78
10-10-2025,08:15,1039,901.234.567-89
11-11-2025,08:30,1040,012.345.678-90
12-12-2025,08:45,1041,135.792.468-01
13-01-2025,09:00,1042,246.813.579-12
14-02-2025,09:15,1043,357.924.680-23
15-03-2025,09:30,1044,468.135.791-34
16-04-2025,09:45,1045,579.246.802-45
17-05-2025,10:00,1046,680.357.913-56
18-06-2025,10:15,1047,791.468.024-67
19-07-2025,10:30,1048,802.579.135-78
20-08-2025,10:45,1049,913.680.246-89
21-09-2025,11:00,1050,024.791.357-90
04-10-2025,10:30,1039,333.444.555-66
16-11-2025,13:30,1025,666.777.888-99
07-12-2025,13:45,1007,567.890.123-45
29-01-2025,17:45,1048,890.123.456-78
01-02-2025,15:15,1007,345.678.901-23
24-03-2025,10:30,1035,357.924.680-23
25-04-2025,17:30,1016,555.666.777-88
26-05-2025,12:30,1047,333.444.555-66
09-06-2025,12:15,1022,357.924.680-23
01-07-2025,08:45,1015,246.813.579-12
26-08-2025,15:45,1013,246.813.579-12
11-09-2025,17:00,1036,555.666.777-88
12-10-2025,13:30,1016,234.567.890-12
04-11-2025,17:30,1047,345.678.901-23
18-12-2025,12:30,1033,777.888.999-00
30-01-2025,16:00,1036,890.123.456-78
11-02-2025,09:15,1026,024.791.357-90
25-03-2025,16:00,1044,456.789.012-34
26-04-2025,10:15,1022,555.666.777-88
21-05-2025,12:00,1032,567.890.123-45
10-06-2025,12:45,1048,888.999.000-11
20-07-2025,13:45,1037,666.777.888-99
26-08-2025,12:30,1018,579.246.802-45
08-09-2025,09:15,1021,789.012.345-67
09-10-2025,16:15,1032,024.791.357-90
27-02-2025,09:00,1028,468.135.791-34
11-11-2025,08:45,1012,357.924.680-23
18-12-2025,15:45,1015,246.813.579-12
28-01-2025,12:00,1020,000.111.222-33
18-02-2025,08:30,1010,567.890.123-45
23-03-2025,12:00,1021,333.444.555-66
11-04-2025,10:00,1002,234.567.890-12
30-05-2025,14:45,1038,666.777.888-99
17-06-2025,12:15,1043,680.357.913-56
09-07-2025,12:00,1008,123.456.789-01
14-08-2025,17:00,1007,468.135.791-34
24-09-2025,09:00,1001,567.890.123-45
09-10-2025,13:30,1018,901.234.567-89
07-11-2025,15:00,1023,234.567.890-12
05-12-2025,10:45,1050,791.468.024-67
06-01-2025,11:30,1024,357.924.680-23
09-02-2025,14:45,1049,678.901.234-56
28-03-2025,12:00,1006,246.813.579-12
20-04-2025,15:45,1042,999.000.111-22
13-05-2025,08:45,1014,345.678.901-23
06-06-2025,08:15,1042,135.792.468-01
02-07-2025,10:45,1002,680.357.913-56
02-08-2025,16:15,1009,456.789.012-34
21-09-2025,14:45,1034,579.246.802-45
19-10-2025,15:00,1025,890.123.456-78
